nBlocks,nThreads,Runtime_ms,MemBW_pct,Occupancy_pct
1,32,980.73,0.02,1.56
1,64,495.20,0.04,3.12
1,128,254.61,0.07,6.33
1,256,169.24,0.11,12.09
1,512,102.96,0.18,25.41
1,1024,58.80,0.31,49.98
4,32,291.07,0.06,1.56
4,64,151.59,0.12,3.11
4,128,84.27,0.22,6.27
4,256,44.68,0.41,12.46
4,512,25.84,0.70,24.97
4,1024,15.84,1.15,48.78
16,32,76.06,0.24,1.56
16,64,41.76,0.44,3.14
16,128,20.37,0.89,6.26
16,256,11.62,1.57,12.48
16,512,6.90,2.64,24.79
16,1024,4.08,4.45,48.70
64,32,19.22,0.95,1.56
64,64,9.87,1.85,3.12
64,128,5.29,3.45,6.28
64,256,3.19,5.70,12.47
64,512,1.80,10.10,24.74
64,1024,1.10,16.48,48.48
256,32,5.25,3.47,3.70
256,64,3.02,6.03,7.37
256,128,1.68,10.84,14.72
256,256,0.969,18.79,29.13
256,512,0.659,29.24,55.96
256,1024,0.641,32.43,84.20
1024,32,1.69,10.81,14.73
1024,64,0.97,18.86,29.03
1024,128,0.61,30.91,55.05
1024,256,0.57,35.55,71.06
1024,512,0.50,38.58,84.78
1024,1024,0.50,38.40,91.01
4096,32,0.948,21.59,32.70
4096,64,0.565,34.50,70.05
4096,128,0.481,39.41,84.78
4096,256,0.455,40.53,91.48
4096,512,0.459,39.75,92.53
4096,1024,0.484,37.63,91.26